Davies Spurs 52 £4.5
Sánchez Spurs 43 £4.5
Sessegnon Spurs 0 £4.5
Tanganga Spurs 14 £4.5
Rodon Spurs 27 £4.5
Rose Watford 0 £4.5
Cathcart Watford 0 £4.5
Femenía Watford 0 £4.5
Kabasele Watford 0 £4.5
Troost-Ekong Watford 0 £4.5
Masina Watford 0 £4.5
Sierralta Watford 0 £4.5
Ngakia Watford 0 £4.5
Wilmot Watford 0 £4.5
Fredericks WestHam 28 £4.5
Masuaku WestHam 42 £4.5
Diop WestHam 42 £4.5
Coady Wolves 106 £4.5
Marçal Wolves 19 £4.5
Jonny Wolves 16 £4.5
Kilman Wolves 58 £4.5
Mosquera Wolves 0 £4.5
Collins Burnley 0 £4.5
Gibson Norwich 0 £4.5
Giannoulis Norwich 0 £4.5
Duffy Brighton 0 £4.0
Bernardo Brighton 0 £4.0
Goode Brentford 0 £4.0
Bardsley Burnley 2 £4.0
Long Burnley 14 £4.0
Kelly CrystalPalace 1 £4.0
Amartey Leicester 19 £4.0
Tsimikas Liverpool 2 £4.0
N.Williams Liverpool 11 £4.0
Davies Liverpool 0 £4.0
Williams ManUtd 5 £4.0
Manquillo Newcastle 28 £4.0
Omobamidele Norwich 0 £4.0
Navarro Watford 0 £4.0
Reid WestHam 0 £4.0
Johnson WestHam 25 £4.0
Hoever Wolves 13 £4.0
Pollock Watford 0 £4.0
Salah Liverpool 231 £12.5
Mané Liverpool 176 £12.0
DeBruyne ManCity 141 £12.0
Fernandes ManUtd 244 £12.0
Sterling ManCity 154 £11.0
Son Spurs 228 £10.0
Rashford ManUtd 174 £9.5
Mahrez ManCity 145 £9.0
Havertz Chelsea 91 £8.5
Grealish AstonVilla 135 £8.0
Pulisic Chelsea 82 £8.0
Foden ManCity 135 £8.0
Pépé Arsenal 114 £7.5
Ziyech Chelsea 70 £7.5
Mount Chelsea 147 £7.5
Jota Liverpool 86 £7.5
Gündogan ManCity 157 £7.5
Pogba ManUtd 92 £7.5
Greenwood ManUtd 106 £7.5
Zaha CrystalPalace 136 £7.0
Sigurdsson Everton 122 £7.0
James Everton 101 £7.0
Maddison Leicester 133 £7.0
Barnes Leicester 126 £7.0
Bernardo ManCity 94 £7.0
Torres ManCity 95 £7.0
Lingard ManUtd 106 £7.0
Willian Arsenal 78 £6.5
Saka Arsenal 114 £6.5
Buendía AstonVilla 0 £6.5
Trossard Brighton 132 £6.5
Raphinha Leeds 133 £6.5
Tielemans Leicester 133 £6.5
Ward-Prowse Southampton 156 £6.5
LucasMoura Spurs 80 £6.5
Dele Spurs 30 £6.5
Bowen WestHam 141 £6.5
Neto Wolves 124 £6.5
Willock Arsenal 79 £6.0
Traoré AstonVilla 135 £6.0
McGinn AstonVilla 114 £6.0
ElGhazi AstonVilla 111 £6.0
Groß Brighton 116 £6.0
McNeil Burnley 113 £6.0
Jorginho Chelsea 114 £6.0
Eze CrystalPalace 125 £6.0
Iwobi Everton 65 £6.0
Pérez Leicester 58 £6.0
Shaqiri Liverpool 26 £6.0
Chamberlain Liverpool 21 £6.0
Harrison Leeds 160 £6.0
vandeBeek ManUtd 32 £6.0
James ManUtd 43 £6.0
Walcott Southampton 76 £6.0
Redmond Southampton 67 £6.0
Armstrong Southampton 115 £6.0
Lamela Spurs 28 £6.0
Bergwijn Spurs 55 £6.0
LoCelso Spurs 35 £6.0
Ndombele Spurs 99 £6.0
Sarr Watford 0 £6.0
Lanzini WestHam 28 £6.0
Benrahma WestHam 73 £6.0
Soucek WestHam 147 £6.0
Fornals WestHam 125 £6.0
Traoré Wolves 94 £6.0
Trincão Wolves 0 £6.0
Mwepu Brighton 0 £6.0
Maitland-Niles Arsenal 68 £5.5
SmithRowe Arsenal 74 £5.5
Martinelli Arsenal 36 £5.5
Trézéguet AstonVilla 56 £5.5
Lallana Brighton 58 £5.5
March Brighton 69 £5.5
Jahanbakhsh Brighton 24 £5.5
MacAllister Brighton 48 £5.5
Fosu Brentford 0 £5.5
Canós Brentford 0 £5.5
Dasilva Brentford 0 £5.5
Ghoddos Brentford 0 £5.5
Mbeumo Brentford 0 £5.5
Westwood Burnley 112 £5.5
Gudmundsson Burnley 50 £5.5
Barkley Chelsea 76 £5.5
Loftus-Cheek Chelsea 66 £5.5
Hudson-Odoi Chelsea 59 £5.5
Gallagher Chelsea 71 £5.5
Milivojevic CrystalPalace 63 £5.5
Schlupp CrystalPalace 65 £5.5
Bernard Everton 21 £5.5
Doucouré Everton 80 £5.5
Hernández Leeds 28 £5.5
Klich Leeds 99 £5.5
Dallas Leeds 171 £5.5
Costa Leeds 63 £5.5
Albrighton Leicester 78 £5.5
Thiago Liverpool 55 £5.5
Fabinho Liverpool 71 £5.5
Minamino Liverpool 48 £5.5
Rodrigo ManCity 91 £5.5
McTominay ManUtd 91 £5.5
Shelvey Newcastle 74 £5.5
Fraser Newcastle 39 £5.5
Almirón Newcastle 97 £5.5
Dowell Norwich 0 £5.5
Cantwell Norwich 0 £5.5
Djenepo Southampton 46 £5.5
Sema Watford 0 £5.5
Zinckernagel Watford 0 £5.5
Louza Watford 0 £5.5
Yarmolenko WestHam 17 £5.5
Neves Wolves 104 £5.5
Podence Wolves 75 £5.5
Rashica Norwich 0 £5.5
Xhaka Arsenal 70 £5.0
Partey Arsenal 47 £5.0
Hourihane AstonVilla 0 £5.0
Sanson AstonVilla 10 £5.0
Alzate Brighton 35 £5.0
Nørgaard Brentford 0 £5.0
Janelt Brentford 0 £5.0
Jensen Brentford 0 £5.0
Kovacic Chelsea 54 £5.0
